standard_set,sample_type,parameter,min,max
,water,ph,5,9
,water,do,4,
,water,bod,,4
,water,turbidity,,20
,water,coliform,,5000
,water,pb,,0.05
,soil,ph,4.5,8.5
,soil,pb,,400
,soil,cd,,5
,soil,cr,,300
,soil,as,,3.9
,soil,hg,,0.8
,air,pm25,,37.5
,air,pm10,,120
,air,so2,,100
,air,no2,,170
,air,noise,,70
